fen,move,move_san,move_number,to_move,evaluation,piece_count
7r/p1p1r1p1/2k1ppR1/1pP5/3PN2P/4P1K1/P3B3/8 b - - 1 31,b5b4,b4,62,black,0.5,18
7r/p1p1r1p1/2k1ppR1/2P5/1p1PN2P/4P1K1/P3B3/8 w - - 0 32,e2f3,Bf3,63,white,0.5,18
7r/p1p1r1p1/2k1ppR1/2P5/1p1PN2P/4PBK1/P7/8 b - - 1 32,c6b5,Kb5,64,black,0.5,18
7r/p1p1r1p1/4ppR1/1kP5/1p1PN2P/4PBK1/P7/8 w - - 2 33,e4d2,Nd2,65,white,0.5,18
7r/p1p1r1p1/4ppR1/1kP5/1p1P3P/4PBK1/P2N4/8 b - - 3 33,a7a5,a5,66,black,0.5,18
7r/2p1r1p1/4ppR1/pkP5/1p1P3P/4PBK1/P2N4/8 w - - 0 34,f3e2,Be2+,67,white,0.5,18
7r/2p1r1p1/4ppR1/pkP5/1p1P3P/4P1K1/P2NB3/8 b - - 1 34,b5a4,Ka4,68,black,0.5,18
7r/2p1r1p1/4ppR1/p1P5/kp1P3P/4P1K1/P2NB3/8 w - - 2 35,e2c4,Bc4,69,white,0.5,18
7r/2p1r1p1/4ppR1/p1P5/kpBP3P/4P1K1/P2N4/8 b - - 3 35,c7c6,c6,70,black,0.5,18
7r/4r1p1/2p1ppR1/p1P5/kpBP3P/4P1K1/P2N4/8 w - - 0 36,e3e4,e4,71,white,0.5,18
7r/4r1p1/2p1ppR1/p1P5/kpBPP2P/6K1/P2N4/8 b - - 0 36,h8d8,Rd8,72,black,0.5,18
3r4/4r1p1/2p1ppR1/p1P5/kpBPP2P/6K1/P2N4/8 w - - 1 37,d2b3,Nb3,73,white,0.5,18
3r4/4r1p1/2p1ppR1/p1P5/kpBPP2P/1N4K1/P7/8 b - - 2 37,a4a3,Ka3,74,black,0.5,18
3r4/4r1p1/2p1ppR1/p1P5/1pBPP2P/kN4K1/P7/8 w - - 3 38,b3a5,Nxa5,75,white,0.5,18
3r4/4r1p1/2p1ppR1/N1P5/1pBPP2P/k5K1/P7/8 b - - 0 38,d8d4,Rxd4,76,black,1.5,17
8/4r1p1/2p1ppR1/N1P5/1pBrP2P/k5K1/P7/8 w - - 0 39,a5c6,Nxc6,77,white,0.5,16
